6;10;30;23,00;1,00
6;13;22;22,00;2,00
6;15;18;23,00;3,00
6;17;15;23,00;4,00
6;19;15;24,00;5,00
6;24;12;22,00;6,00
6;24;12;24,00;7,00
7;27;9;20,00;6,00
8;29;8;18,00;6,00
9;28;8;17,00;7,00
10;30;7;15,00;7,00
11;30;7;14,00;7,00
12;30;7;13,00;7,00
11;29;7;15,00;7,00
10;28;6;18,00;7,00
10;27;5;18,00;8,00
9;27;5;21,00;10,00
9;28;5;21,00;11,00
9;30;4;21,00;11,00
10;29;4;20,00;11,00
10;30;3;20,00;12,00
10;30;3;21,00;13,00
9;28;2;24,00;14,00
9;29;1;25,00;14,00
10;29;0;23,00;13,00
11;28;0;22,00;13,00
11;28;0;22,00;14,00
11;27;0;23,00;12,00
12;30;0;20,00;12,00
11;29;0;22,00;14,00
10;29;0;25,00;14,00
11;30;0;23,00;14,00
12;29;0;21,00;13,00
14;29;0;18,00;12,00
15;29;0;17,00;12,00
15;29;0;16,00;13,00
15;27;0;17,00;13,00
15;26;0;17,00;14,00
15;24;0;18,00;14,00
15;23;0;17,00;14,00
14;22;0;19,00;16,00
14;22;0;19,00;16,00
14;20;0;19,00;17,00
14;19;0;19,00;18,00
16;23;0;15,00;16,00
18;25;0;12,00;15,00
19;23;0;12,00;15,00
18;21;0;12,00;16,00
15;20;0;14,00;14,00
16;21;0;12,00;14,00
14;17;0;16,00;16,00
16;19;0;13,00;14,00
17;21;0;11,00;14,00
18;18;0;11,00;14,00
17;18;0;11,00;13,00
16;17;0;12,00;12,00
14;17;0;13,00;14,00
13;20;0;13,00;16,00
12;19;0;15,00;17,00
11;21;0;15,00;19,00
8;23;0;21,00;23,00
8;23;0;22,00;24,00
8;23;0;23,00;25,00
8;23;0;24,00;26,00
