5;9;31;24,00;1,00
5;13;27;23,00;2,00
6;16;23;19,00;2,00
6;17;22;20,00;3,00
6;20;19;20,00;4,00
6;22;16;20,00;5,00
6;25;12;20,00;6,00
6;30;7;18,00;7,00
6;31;5;19,00;8,00
6;30;5;22,00;9,00
6;32;4;23,00;10,00
6;33;3;24,00;11,00
6;36;2;24,00;12,00
6;36;2;26,00;13,00
7;39;2;22,00;12,00
7;37;2;25,00;13,00
8;38;2;22,00;12,00
8;36;2;25,00;13,00
8;35;2;27,00;14,00
9;36;2;24,00;13,00
10;35;2;23,00;13,00
12;33;2;20,00;12,00
13;31;1;19,00;12,00
13;31;1;19,00;13,00
14;30;0;18,00;13,00
14;29;0;19,00;13,00
15;26;0;18,00;13,00
15;25;0;18,00;14,00
16;26;0;16,00;14,00
18;26;0;14,00;12,00
19;25;0;13,00;12,00
20;25;0;12,00;12,00
21;23;0;11,00;12,00
20;23;0;11,00;11,00
22;23;0;10,00;11,00
21;16;0;11,00;13,00
19;19;0;10,00;11,00
17;18;0;12,00;12,00
17;20;0;11,00;13,00
17;21;0;10,00;14,00
16;20;0;10,00;14,00
