5;9;32;24,00;1,00
5;13;26;23,00;2,00
5;16;23;23,00;3,00
5;19;21;23,00;4,00
5;21;18;24,00;5,00
5;24;15;24,00;6,00
5;25;13;26,00;7,00
5;26;9;28,00;8,00
5;28;7;29,00;9,00
5;30;5;30,00;10,00
5;33;5;30,00;11,00
6;35;3;25,00;10,00
7;37;3;22,00;9,00
7;37;2;24,00;10,00
7;37;1;25,00;11,00
7;37;1;25,00;12,00
5;38;1;38,00;14,00
6;40;1;33,00;12,00
6;41;1;34,00;13,00
7;42;1;30,00;12,00
7;41;1;32,00;13,00
8;41;1;30,00;12,00
8;39;1;31,00;13,00
8;39;1;33,00;14,00
9;40;0;30,00;13,00
10;39;0;28,00;13,00
11;36;0;27,00;12,00
12;36;0;25,00;12,00
13;32;0;25,00;12,00
14;28;0;24,00;12,00
15;26;0;23,00;12,00
18;27;0;19,00;11,00
21;24;0;16,00;10,00
19;24;0;17,00;12,00
