5;9;34;24,00;1,00
5;13;27;23,00;2,00
5;17;24;22,00;3,00
5;19;21;23,00;4,00
6;21;18;20,00;4,00
7;23;15;17,00;4,00
8;25;13;15,00;4,00
8;27;10;15,00;5,00
8;25;8;17,00;6,00
8;29;7;16,00;7,00
8;29;6;17,00;8,00
8;30;6;17,00;9,00
8;27;6;20,00;10,00
8;27;5;21,00;11,00
8;27;5;23,00;12,00
8;27;4;24,00;13,00
8;27;4;25,00;14,00
9;28;4;22,00;13,00
9;30;3;22,00;14,00
10;31;3;20,00;13,00
10;29;3;22,00;14,00
11;29;3;20,00;14,00
13;28;3;17,00;13,00
14;28;3;16,00;13,00
15;29;3;14,00;11,00
16;28;3;13,00;12,00
16;25;3;14,00;13,00
16;21;2;15,00;13,00
15;22;2;15,00;14,00
15;24;2;14,00;15,00
14;20;2;17,00;15,00
15;23;1;14,00;15,00
15;21;1;15,00;16,00
15;23;1;14,00;16,00
14;21;1;15,00;17,00
15;19;1;15,00;17,00
17;20;1;12,00;16,00
16;20;1;13,00;16,00
18;19;1;11,00;15,00
20;19;0;10,00;14,00
