5;10;33;23,00;1,00
5;15;24;21,00;2,00
5;19;21;20,00;3,00
5;23;18;19,00;4,00
5;25;16;20,00;5,00
6;28;12;16,00;5,00
6;29;11;18,00;6,00
6;31;8;18,00;7,00
6;33;8;19,00;8,00
6;34;5;20,00;9,00
6;36;4;20,00;10,00
6;37;4;22,00;11,00
6;37;3;24,00;12,00
7;40;2;20,00;11,00
8;42;1;18,00;10,00
8;41;0;19,00;11,00
8;39;0;22,00;12,00
8;38;0;24,00;13,00
7;38;0;29,00;16,00
7;37;0;31,00;17,00
7;37;0;33,00;18,00
8;38;0;29,00;16,00
9;36;0;28,00;15,00
9;36;0;29,00;16,00
9;35;0;30,00;17,00
10;33;0;29,00;16,00
11;33;0;27,00;16,00
11;32;0;27,00;17,00
12;32;0;25,00;16,00
14;33;0;21,00;15,00
16;33;0;18,00;14,00
16;30;0;18,00;15,00
14;29;0;21,00;13,00
16;27;0;19,00;12,00
16;27;0;19,00;13,00
17;29;0;17,00;13,00
16;26;0;18,00;14,00
17;27;0;17,00;13,00
18;26;0;15,00;13,00
18;26;0;15,00;14,00
18;22;0;16,00;15,00
20;19;0;14,00;14,00
16;16;0;18,00;16,00
16;19;0;17,00;16,00
14;21;0;18,00;16,00
13;21;0;19,00;17,00
14;21;0;18,00;17,00
14;23;0;17,00;17,00
14;22;0;17,00;17,00
13;23;0;18,00;19,00
13;24;0;17,00;20,00
11;23;0;22,00;23,00
11;25;0;21,00;24,00
11;26;0;21,00;25,00
11;25;0;21,00;26,00
10;25;0;24,00;28,00
10;27;0;24,00;29,00
